id_aeropuerto;nombre;codigo_pais
1929;Alicante-Elche Airport;ESP
1162;Alice Springs Airport;AUS
1649;Alldays Airport;ZAF
1775;Frankfurt am Main Airport;DEU
1386;Almaty International Airport;KAZ
1695;Almeria International Airport;ESP
1179;Beijing Nanyuan Airport;CHN
1577;Beira Airport;MOZ
1134;Beirut Rafic Hariri International Airport;LBN
1348;Val de Cans International Airport;BRA
1882;Belfast International Airport;IRL
1290;Liverpool John Lennon Airport;GBR
1352;Belgaum Airport;IND
1237;Mohamed Boudiaf International Airport;DZA
1900;Mihail Kog_lniceanu International Airport;ROM
1625;Coober Pedy Airport;AUS
1825;Arturo Merino Bentez;CHL
1009;Haneda;JPN
1552;Istanbul Airport;TUR
1601;El Dorado International Airport;COL
2345;Hare International Airport;USA
2456;Los Angeles International Airport;USA
